entry_date,exit_date,pnl,duration
2021-04-06,2021-11-29,-1095.3392239484529,237
2022-04-04,2022-05-06,2900.0203710932838,32
2022-05-16,2022-06-24,2093.7656754661584,39
2022-10-25,2022-10-27,3181.9429727352253,2
2023-04-10,2023-12-29,-3846.482511577866,263
2024-06-12,2024-10-02,2586.758150571419,112
2024-12-06,2025-03-25,1946.0630552325165,109
