ticker_a,ticker_b,beta
MSFT,AMD,0.4068836333547986
MSFT,NVDA,0.3428862466720453
META,NVDA,0.5916771168390453
MSFT,GOOG,0.7013861107585431
MSFT,ORCL,0.6359829929378807
